ID,fdr_pval,pval,zval,Gene_Name
ITFG2,0.027552381,0.001536085,-3.167778482,integrin alpha FG-GAP repeat containing 2
QSOX1,0.02767587,0.001549252,3.165296132,quiescin sulfhydryl oxidase 1
VCAM1,0.02767587,0.001548361,-3.165463508,vascular cell adhesion molecule 1
MOB4,0.027873338,0.001562516,3.162815015,"MOB family member 4, phocein"
RARRES2,0.027878171,0.001565505,-3.162258597,retinoic acid receptor responder 2
ZNF335,0.027878171,0.001567208,-3.161942019,zinc finger protein 335
DNASE1L2,0.027892436,0.001572433,3.160972626,deoxyribonuclease 1 like 2
LOC102724250 /// NBPF1 /// NBPF10 /// NBPF11 /// NBPF14 /// NBPF15 /// NBPF19 /// NBPF26,0.027892436,0.001571477,-3.161149656,NA
MLPH,0.028143935,0.001588843,-3.157947347,melanophilin
CHMP5,0.028384469,0.001604672,3.155056136,charged multivesicular body protein 5
SNRPC,0.028570241,0.00161744,3.152743262,small nuclear ribonucleoprotein polypeptide C
ARHGAP5,0.02860163,0.001625245,-3.151337611,Rho GTPase activating protein 5
CD3D,0.02860163,0.00162229,-3.151869051,CD3d molecule
MAP3K12,0.02860163,0.00162875,3.150708466,mitogen-activated protein kinase kinase kinase 12
MAPK10,0.02860163,0.001630556,3.15038471,mitogen-activated protein kinase 10
MFN2,0.02860163,0.001626267,-3.151153947,mitofusin 2
CORO2B,0.028615705,0.001633627,3.14983494,coronin 2B
AKR1C3,0.028676973,0.001639399,-3.148804412,aldo-keto reductase family 1 member C3
CLEC1A,0.028767479,0.001647382,-3.147384372,C-type lectin domain family 1 member A
RAMP2,0.028767479,0.001649135,-3.147073552,receptor activity modifying protein 2
CRHBP,0.028848481,0.001656066,3.145847087,corticotropin releasing hormone binding protein
STAT5A,0.028865671,0.001659341,-3.145269099,signal transducer and activator of transcription 5A
ACTR10,0.028945594,0.001679144,3.141796982,actin related protein 10 homolog
BCAM,0.028945594,0.001688912,-3.140098268,basal cell adhesion molecule (Lutheran blood group)
CSPG4,0.028945594,0.001682649,-3.141186394,chondroitin sulfate proteoglycan 4
DALRD3,0.028945594,0.001685508,-3.140689115,DALR anticodon binding domain containing 3
LAGE3,0.028945594,0.001671017,3.143217435,L antigen family member 3
MEF2C,0.028945594,0.001688838,3.140110985,myocyte enhancer factor 2C
NDUFB1,0.028945594,0.001692267,-3.139516901,NADH:ubiquinone oxidoreductase subunit B1
PI4K2A,0.028945594,0.001671904,-3.143062057,phosphatidylinositol 4-kinase type 2 alpha
PUM1,0.028945594,0.001677507,3.14208263,pumilio RNA binding family member 1
RNF111,0.028945594,0.001672769,3.142910693,ring finger protein 111
SIAH2,0.028945594,0.001688405,3.140186125,siah E3 ubiquitin protein ligase 2
STYK1,0.028945594,0.001693624,3.139281916,serine/threonine/tyrosine kinase 1
TUBB4B,0.028945594,0.001693772,3.139256418,tubulin beta 4B class IVb
SPOCK3,0.029076799,0.001703755,3.137534069,"SPARC (osteonectin), cwcv and kazal like domains proteoglycan 3"
TNFRSF1A,0.029132804,0.001709346,-3.136573433,TNF receptor superfamily member 1A
ARRB1,0.029144642,0.001712352,-3.136058278,arrestin beta 1
DDX46,0.029512384,0.001738638,3.131587796,DEAD-box helicase 46
PTRF,0.029512384,0.001738087,-3.131680922,NA
HERC2P3 /// LOC101930458,0.029529938,0.001742013,-3.131018226,NA
UTP18,0.029560682,0.001746171,-3.130318118,"UTP18, small subunit processome component"
ACSM5,0.02957245,0.001749211,-3.129807165,acyl-CoA synthetase medium chain family member 5
CYP4F2,0.029608729,0.001756052,-3.128660276,cytochrome P450 family 4 subfamily F member 2
IMMT,0.029608729,0.001756022,3.128665378,inner membrane mitochondrial protein
ERF,0.029615663,0.001758812,-3.128198832,ETS2 repressor factor
EVL,0.029616922,0.001761235,-3.127794182,Enah/Vasp-like
PAK3,0.029632094,0.001764979,3.127169867,p21 (RAC1) activated kinase 3
RBM38,0.029632094,0.001766836,-3.126860748,RNA binding motif protein 38
APP,0.029854858,0.001784853,-3.12387663,amyloid beta precursor protein
FAM20B,0.029854858,0.001782792,3.124216496,"FAM20B, glycosaminoglycan xylosylkinase"
RBMS1,0.030379553,0.00181863,3.11835597,RNA binding motif single stranded interacting protein 1
SLC9A6,0.030562525,0.001832007,3.116195662,solute carrier family 9 member A6
ALAS1,0.030619365,0.001844565,3.114180658,5'-aminolevulinate synthase 1
PLA2G16,0.030619365,0.001849981,-3.113315616,phospholipase A2 group XVI
SHPK /// TRPV1,0.030619365,0.001848488,-3.113553791,NA
SOX9,0.030619365,0.001849194,-3.113441152,SRY-box 9
TLN1,0.030619365,0.00184979,-3.113345962,talin 1
UMPS,0.030619365,0.001841875,-3.114611249,uridine monophosphate synthetase
CALM1 /// CALM2 /// CALM3,0.030713215,0.001860521,-3.111638555,NA
CFHR2,0.030713215,0.001858492,-3.111960826,complement factor H related 2
GNB5,0.030750199,0.0018652,3.110896976,G protein subunit beta 5
PDZD3,0.0308071,0.001874653,-3.109403889,PDZ domain containing 3
PSMD4,0.0308071,0.001873912,-3.109520583,"proteasome 26S subunit, non-ATPase 4"
SLC7A9,0.0308071,0.001878422,-3.108810404,solute carrier family 7 member 9
SUPV3L1,0.0308071,0.001877006,3.109033169,Suv3 like RNA helicase
EPB41,0.03086099,0.001884155,-3.10790991,erythrocyte membrane protein band 4.1
SUCLA2,0.030986837,0.001894295,3.106323238,succinate-CoA ligase ADP-forming beta subunit
ACOX3,0.031057436,0.001901074,-3.105266951,"acyl-CoA oxidase 3, pristanoyl"
HMGN2,0.031069962,0.001904304,3.104764793,high mobility group nucleosomal binding domain 2
EPOR /// RGL3,0.031309922,0.001921494,-3.102105634,NA
NDUFA9,0.031310205,0.001923994,3.101720736,NADH:ubiquinone oxidoreductase subunit A9
HIST1H1C,0.031343705,0.001928538,-3.101022322,histone cluster 1 H1 family member c
UBC,0.031441808,0.001937067,3.099715407,ubiquitin C
GLRB,0.031451413,0.001940152,3.099243914,glycine receptor beta
PRDX1,0.031670874,0.001956201,3.096802541,peroxiredoxin 1
GNG3,0.031677934,0.001961661,3.095976231,G protein subunit gamma 3
PARP4,0.031677934,0.001960691,-3.096122936,poly(ADP-ribose) polymerase family member 4
CSK,0.031761453,0.001971078,-3.094555824,C-terminal Src kinase
PRR14L,0.031761453,0.001971869,-3.094436795,proline rich 14 like
LOC101929910 /// LOC613037 /// NPIPA5 /// NPIPB3 /// NPIPB4 /// NPIPB5,0.032053058,0.001992515,-3.091345733,NA
CISD1,0.032085998,0.001997107,3.09066225,CDGSH iron sulfur domain 1
FBXO38,0.032111579,0.002001245,-3.090047488,F-box protein 38
C19orf40,0.03211419,0.002003954,-3.08964569,NA
IGF1,0.032209894,0.00201248,-3.088384379,insulin like growth factor 1
NDUFAB1,0.032588165,0.002038698,3.084536163,NADH:ubiquinone oxidoreductase subunit AB1
PTPN13,0.032864942,0.002058619,-3.08164251,"protein tyrosine phosphatase, non-receptor type 13"
NKX2-2,0.032964579,0.002067474,-3.080364508,NK2 homeobox 2
COPB2,0.033218342,0.002092697,-3.076751524,coatomer protein complex subunit beta 2
GUCA1B,0.033218342,0.00209631,-3.076237279,guanylate cyclase activator 1B
IQGAP1,0.033218342,0.002096559,-3.076201815,IQ motif containing GTPase activating protein 1
SNRPN /// SNURF,0.033218342,0.002089707,-3.07717768,NA
ZC3H14,0.033218342,0.002090728,3.077032147,zinc finger CCCH-type containing 14
DNMT3B,0.033586307,0.00213027,-3.071442833,DNA methyltransferase 3 beta
IL17RB,0.033586307,0.002125366,-3.072130706,interleukin 17 receptor B
PPP3CA,0.033586307,0.002128881,3.071637532,protein phosphatase 3 catalytic subunit alpha
WBP1L,0.033586307,0.002130435,-3.071419646,WW domain binding protein 1 like
CCNH,0.033589193,0.002138608,3.070276355,cyclin H
CLDN5,0.033589193,0.002133428,-3.071000433,claudin 5
CYP4A11,0.033589193,0.002138421,-3.070302399,cytochrome P450 family 4 subfamily A member 11
E2F5,0.033648475,0.00214505,3.069377957,E2F transcription factor 5
SLC30A3,0.033720407,0.00215231,3.068368608,solute carrier family 30 member 3
HDGFRP3,0.033915937,0.002167479,-3.066269437,NA
GSTA4,0.033965789,0.002176051,3.065089157,glutathione S-transferase alpha 4
LYL1,0.033965789,0.002174583,-3.065290966,"LYL1, basic helix-loop-helix family member"
ATOX1,0.034001324,0.002186345,3.063677461,antioxidant 1 copper chaperone
PHF14,0.034001324,0.002186416,3.063667782,PHD finger protein 14
PPCS,0.034001324,0.002182514,3.064202068,phosphopantothenoylcysteine synthetase
CYCS,0.034112345,0.002196259,-3.062323509,"cytochrome c, somatic"
R3HDM4,0.034146983,0.002201389,-3.061625204,R3H domain containing 4
SH3GLB1,0.034146983,0.002203905,3.061283308,"SH3 domain containing GRB2 like, endophilin B1"
GLRX,0.034309589,0.00221712,3.059492986,glutaredoxin
GTF2H2B,0.034351281,0.002222538,-3.058761827,general transcription factor IIH subunit 2B (pseudogene)
PFN2,0.034375143,0.002226807,3.058186807,profilin 2
EMP3,0.034398488,0.002231047,-3.057616782,epithelial membrane protein 3
RNF146,0.034459624,0.002238907,3.056562659,ring finger protein 146
RPL4 /// SNORD16 /// SNORD18A /// SNORD18B /// SNORD18C,0.034459624,0.002240477,3.056352522,NA
HCCS,0.034460395,0.002243259,3.055980408,holocytochrome c synthase
KCTD17,0.034613313,0.002255958,-3.054287453,potassium channel tetramerization domain containing 17
MRPL20,0.034723157,0.00226587,-3.052972041,mitochondrial ribosomal protein L20
BMPR2,0.034729167,0.00227177,3.052191663,bone morphogenetic protein receptor type 2
TUBA4A,0.034729167,0.002270465,3.05236418,tubulin alpha 4a
ADD3,0.03495532,0.002291093,-3.049648536,adducin 3
PRKDC,0.03495532,0.002292107,-3.049515678,"protein kinase, DNA-activated, catalytic polypeptide"
METTL3,0.035043668,0.002300679,3.048394278,methyltransferase like 3
AMPD2,0.035055575,0.002304869,-3.047847484,adenosine monophosphate deaminase 2
MAPKAPK3,0.035055575,0.002309799,-3.047205313,mitogen-activated protein kinase-activated protein kinase 3
UQCRC1,0.035055575,0.002307196,3.047544244,ubiquinol-cytochrome c reductase core protein 1
FBXW4,0.035065417,0.002317958,-3.046145243,F-box and WD repeat domain containing 4
LCMT2,0.035065417,0.002314261,-3.046625205,leucine carboxyl methyltransferase 2
PTTG3P,0.035065417,0.002319134,3.045992814,"pituitary tumor-transforming 3, pseudogene"
RPL6,0.035065417,0.002321569,3.045677295,ribosomal protein L6
COL4A3BP,0.035252013,0.002339513,-3.043361283,collagen type IV alpha 3 binding protein
MAGI2,0.035252013,0.002338832,-3.043448859,"membrane associated guanylate kinase, WW and PDZ domain containing 2"
CYFIP2,0.035321601,0.002347012,3.042398232,cytoplasmic FMR1 interacting protein 2
EVC,0.035321601,0.002349732,-3.042049529,EvC ciliary complex subunit 1
HP /// HPR,0.035440635,0.002360461,-3.040678031,NA
DENND1C,0.035509349,0.002369645,-3.039508579,DENN domain containing 1C
DSTYK,0.035509349,0.002370669,-3.039378436,dual serine/threonine and tyrosine protein kinase
CYP4F12,0.035515768,0.002373913,-3.038966423,cytochrome P450 family 4 subfamily F member 12
CORO1C,0.035590378,0.002382502,3.037878178,coronin 1C
RHOQ,0.035590378,0.002384544,-3.037620047,ras homolog family member Q
PIP,0.035946957,0.002411285,-3.034257539,prolactin induced protein
KPNA2,0.036186383,0.002430215,3.031897815,karyopherin subunit alpha 2
LTK,0.036217372,0.002437942,-3.030939419,leukocyte receptor tyrosine kinase
RPH3A,0.036217372,0.002438039,3.030927344,rabphilin 3A
COPS8,0.036218916,0.002446758,-3.029849246,COP9 signalosome subunit 8
GABARAPL2,0.036218916,0.002444353,3.030146328,GABA type A receptor associated protein like 2
GLA,0.036218916,0.002446151,3.029924273,galactosidase alpha
PODNL1,0.036364836,0.002465266,-3.027572467,podocan like 1
RALA,0.036364836,0.002461198,-3.028071533,RAS like proto-oncogene A
STAP2,0.036364836,0.002462994,-3.027851077,signal transducing adaptor family member 2
GSDMD,0.036563759,0.002481651,-3.025569868,gasdermin D
F8A1 /// F8A2 /// F8A3,0.036785309,0.002501472,3.023163303,NA
LOC100996693 /// SPEG,0.036785309,0.002502521,-3.023036446,NA
A2M,0.036825309,0.002512126,-3.021877003,alpha-2-macroglobulin
KLC2,0.036825309,0.002510191,-3.0221103,kinesin light chain 2
LOC101928143 /// LOC101930388 /// NUMB,0.036825309,0.002514002,-3.02165104,NA
REEP1,0.036908777,0.002522627,3.020614086,receptor accessory protein 1
RAB1B,0.037062745,0.002536089,-3.019002001,"RAB1B, member RAS oncogene family"
FUT6,0.037116426,0.002552848,-3.017005999,fucosyltransferase 6
GABRG3,0.037116426,0.002546525,3.017757567,gamma-aminobutyric acid type A receptor gamma3 subunit
GSTT2,0.037116426,0.002545107,3.017926422,glutathione S-transferase theta 2 (gene/pseudogene)
MRPL9,0.037116426,0.002548859,3.017479977,mitochondrial ribosomal protein L9
UBE2W,0.037116426,0.002554477,-3.016812633,ubiquitin conjugating enzyme E2 W
FBXO34,0.037121885,0.002557796,3.016418983,F-box protein 34
MATN4,0.037223448,0.002567745,-3.015241757,matrilin 4
RP11-680F8.4,0.037283672,0.002574856,-3.014402969,NA
VGLL4,0.037597579,0.002599515,-3.011510346,vestigial like family member 4
SNHG3 /// SNORA73A,0.037621425,0.002604147,-3.010969839,NA
AGO2 /// CASC7 /// CASC7 /// DQ574852,0.037768676,0.002617334,-3.009435729,NA
S100A8,0.037838928,0.002625203,-3.00852371,S100 calcium binding protein A8
FKBP1B,0.037848218,0.002628849,3.008102031,FK506 binding protein 1B
CALCA,0.037961137,0.002642712,-3.006503336,calcitonin related polypeptide alpha
CTPS1,0.037961137,0.002642703,3.006504306,CTP synthase 1
NMT2,0.038161371,0.002662703,-3.00421137,N-myristoyltransferase 2
VAMP5,0.038161371,0.002661905,-3.004302536,vesicle associated membrane protein 5
KCNK7,0.038202521,0.002668603,3.00353791,potassium two pore domain channel subfamily K member 7
GVINP1,0.038203253,0.002675443,-3.002758907,"GTPase, very large interferon inducible pseudogene 1"
ORC3,0.038203253,0.002677741,3.002497526,origin recognition complex subunit 3
TBX19,0.038203253,0.002677301,-3.0025476,T-box 19
IARS,0.038440205,0.002697398,3.000270678,isoleucyl-tRNA synthetase
ALG11 /// UTP14A /// UTP14C,0.038660004,0.002718952,-2.997845798,NA
MARK3,0.038660004,0.002716791,-2.998088167,microtubule affinity regulating kinase 3
CAMK1G,0.038927619,0.002743946,2.995055789,calcium/calmodulin dependent protein kinase IG
MYRF,0.038927619,0.002743403,-2.995116254,myelin regulatory factor
ANKRD11,0.038959697,0.002761653,2.993093297,ankyrin repeat domain 11
GJA1,0.038959697,0.002755779,-2.993743041,gap junction protein alpha 1
KIAA0368,0.038959697,0.002760526,2.993217833,NA
RGS4,0.038959697,0.002751153,2.994255628,regulator of G protein signaling 4
STX17,0.038959697,0.002758069,-2.993489557,syntaxin 17
CDC7,0.038960177,0.002764776,2.992748338,cell division cycle 7
CITED1,0.038984705,0.00277418,2.991711808,Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 1
KIAA0040,0.038984705,0.002778881,-2.991194844,KIAA0040
RLF,0.038984705,0.002778635,2.991221863,rearranged L-myc fusion
ZC3H15,0.038984705,0.002770689,-2.992096233,zinc finger CCCH-type containing 15
MPZ,0.039199363,0.00279729,-2.989178084,myelin protein zero
SOCS3,0.039379188,0.002814317,-2.987323517,suppressor of cytokine signaling 3
WWOX,0.039379188,0.002816368,-2.987100899,WW domain containing oxidoreductase
ERAL1,0.03961558,0.002836415,-2.984931834,Era like 12S mitochondrial rRNA chaperone 1
HSPA2,0.039676384,0.002843915,-2.984124035,heat shock protein family A (Hsp70) member 2
ZNF706,0.040455455,0.002902964,2.977830538,zinc finger protein 706
UCHL5,0.040496213,0.0029091,-2.977183329,ubiquitin C-terminal hydrolase L5
COLEC12,0.040513351,0.002913543,-2.976715397,collectin subfamily member 12
CD3EAP,0.040836259,0.002943241,-2.973604539,CD3e molecule associated protein
PPIG,0.040836259,0.002941706,-2.973764636,peptidylprolyl isomerase G
ADRA1B,0.040887899,0.002955907,2.97228652,adrenoceptor alpha 1B
COL21A1,0.040887899,0.002953809,-2.972504447,collagen type XXI alpha 1 chain
MED14,0.040887899,0.002956689,-2.972205285,mediator complex subunit 14
ECE2,0.040950724,0.002973276,-2.970487436,endothelin converting enzyme 2
FXYD7,0.040950724,0.002969113,2.970917764,FXYD domain containing ion transport regulator 7
SERHL2,0.040950724,0.002965157,-2.971327143,serine hydrolase like 2
TMEM47,0.040950724,0.00297422,-2.970389888,transmembrane protein 47
PSMD7,0.04117796,0.002993989,2.968354412,"proteasome 26S subunit, non-ATPase 7"
CDC37L1,0.041277758,0.003010179,2.966696503,cell division cycle 37 like 1
NAPG,0.041277758,0.003014337,-2.966272099,NSF attachment protein gamma
SNRPA,0.041277758,0.003013094,2.966398917,small nuclear ribonucleoprotein polypeptide A
TCEB2,0.041277758,0.003008097,-2.966909313,NA
C18orf32 /// RPL17 /// RPL17-C18orf32 /// SNORD58A /// SNORD58B /// SNORD58C,0.041279379,0.003017728,2.965926283,NA
EIF2S1,0.041289644,0.003025026,2.965183304,eukaryotic translation initiation factor 2 subunit alpha
PAX5,0.041289644,0.003021868,-2.965504587,paired box 5
GPRASP1,0.041398251,0.003036266,2.964042282,G protein-coupled receptor associated sorting protein 1
USP39,0.041399542,0.003039643,2.963700178,ubiquitin specific peptidase 39
LCN2,0.041430603,0.003045208,-2.963137157,lipocalin 2
PDE6H,0.041560426,0.003058046,2.961842072,phosphodiesterase 6H
HNRNPA0,0.041837063,0.003094987,2.958142782,heterogeneous nuclear ribonucleoprotein A0
LRP2BP,0.041837063,0.003090272,2.958612716,LRP2 binding protein
MSX1,0.041837063,0.003084105,-2.95922837,msh homeobox 1
PNMAL1,0.041837063,0.003091521,2.958488198,NA
SNTA1,0.041837063,0.003094928,-2.958148694,syntrophin alpha 1
ACTR3B,0.041898245,0.003119987,2.955662134,ARP3 actin related protein 3 homolog B
DND1,0.041898245,0.003122768,-2.955387265,DND microRNA-mediated repression inhibitor 1
FAM49A,0.041898245,0.003119257,2.955734295,family with sequence similarity 49 member A
HIST1H2AC,0.041898245,0.003110773,-2.956574233,histone cluster 1 H2A family member c
JAK2,0.041898245,0.00312199,-2.95546408,Janus kinase 2
RBFOX1,0.041898245,0.00311763,2.955895191,RNA binding fox-1 homolog 1
RPS17P5 /// RPS17P5,0.041898245,0.003115209,-2.956134836,NA
ATP5C1,0.041900237,0.003129561,2.954716883,NA
UBE2N,0.041900237,0.003129295,2.95474313,ubiquitin conjugating enzyme E2 N
03-Mar,0.041934298,0.00313543,-2.954138756,membrane associated ring-CH-type finger 3
CPNE3,0.042214662,0.003163002,-2.951435903,copine 3
SYT11,0.042214662,0.003163087,-2.951427575,synaptotagmin 11
APEX2,0.042237269,0.00316813,-2.950935561,apurinic/apyrimidinic endodeoxyribonuclease 2
RTN4,0.04230278,0.003176398,-2.950130429,reticulon 4
ABHD14A /// ACY1,0.042556779,0.003198844,2.947954209,NA
HDAC5,0.042687024,0.003212019,-2.946683366,histone deacetylase 5
LOC644172 /// MAPK8IP1,0.042697033,0.00321646,-2.94625608,NA
MMP25,0.042697033,0.003226314,2.94530984,matrix metallopeptidase 25
MRPS28,0.042697033,0.003219826,2.945932536,mitochondrial ribosomal protein S28
POU3F2,0.042697033,0.003225935,-2.945346215,POU class 3 homeobox 2
IRS4,0.042719543,0.003231402,-2.944822276,insulin receptor substrate 4
RER1,0.042725382,0.003238619,2.944131921,retention in endoplasmic reticulum sorting receptor 1
WDR13,0.042725382,0.003236593,-2.944325629,WD repeat domain 13
CLDND1,0.042731729,0.003242488,-2.943762379,claudin domain containing 1
ABL1,0.042738859,0.003246418,-2.943387467,"ABL proto-oncogene 1, non-receptor tyrosine kinase"
SYNPO,0.042741876,0.003253425,-2.942719994,synaptopodin
ZC2HC1C,0.042741876,0.003251798,-2.942874936,zinc finger C2HC-type containing 1C
DAZAP1,0.042802404,0.003261772,-2.941926669,DAZ associated protein 1
PARP6,0.042802404,0.00326482,-2.941637349,poly(ADP-ribose) polymerase family member 6
C2orf42,0.042935134,0.003278349,2.940356446,chromosome 2 open reading frame 42
STOML1,0.042951142,0.003282977,-2.939919373,stomatin like 1
ATHL1,0.042987979,0.003295982,-2.938694068,NA
BTN3A3,0.042987979,0.003299745,2.938340435,butyrophilin subfamily 3 member A3
GPR63,0.042987979,0.003302568,2.938075318,G protein-coupled receptor 63
HIBCH,0.042987979,0.003302835,-2.938050263,3-hydroxyisobutyryl-CoA hydrolase
KCNA4,0.042987979,0.003298071,2.938497741,potassium voltage-gated channel subfamily A member 4
ZNF12,0.043028644,0.003309371,2.937437302,zinc finger protein 12
NEU3,0.043120976,0.003319891,-2.936453006,neuraminidase 3
BIRC7,0.04323322,0.003349101,-2.933734962,baculoviral IAP repeat containing 7
CDH22,0.04323322,0.003338873,-2.934684204,cadherin 22
CSAG2 /// CSAG3,0.04323322,0.003339328,-2.934641925,NA
LOC101930324 /// NSF,0.04323322,0.003344601,2.934152208,NA
TMEM168,0.04323322,0.003347478,2.933885424,transmembrane protein 168
TRIM38,0.04323322,0.003346423,-2.933983251,tripartite motif containing 38
CDH13,0.043264187,0.00335493,2.933195115,cadherin 13
ALX4,0.043461885,0.003376827,-2.93117481,ALX homeobox 4
CNN2,0.043461885,0.003377152,-2.931144872,calponin 2
ZNF639,0.043496404,0.003383284,-2.930581384,zinc finger protein 639
C22orf24,0.043508443,0.00339112,-2.929862562,chromosome 22 open reading frame 24
MIR5193 /// UBA7,0.043508443,0.003389035,-2.930053648,NA
THBS2,0.043563516,0.003398866,-2.929153419,thrombospondin 2
ZNF665,0.043590909,0.00340446,2.928642295,zinc finger protein 665
SERPINF1,0.04392282,0.003433865,2.925967814,serpin family F member 1
SERPINA5,0.043945448,0.003439118,-2.925492192,serpin family A member 5
CA10,0.044142226,0.003461518,2.923471624,carbonic anhydrase 10
CERS4,0.044142226,0.003459381,-2.923663821,ceramide synthase 4
KCNH1,0.044187687,0.003468586,2.922836478,potassium voltage-gated channel subfamily H member 1
ARTN,0.044212582,0.003474046,-2.922346689,artemin
GPATCH8,0.04430476,0.003488315,-2.921069961,G-patch domain containing 8
LRCH4 /// SAP25,0.04430476,0.003484841,-2.921380385,NA
THYN1,0.04454985,0.003511144,2.91903711,thymocyte nuclear protein 1
TRAC,0.044618656,0.003520105,-2.918242493,T cell receptor alpha constant
C19orf54,0.044652851,0.003526343,-2.917690375,chromosome 19 open reading frame 54
DSTNP2,0.044747974,0.003538906,-2.916581162,"destrin, actin depolymerizing factor pseudogene 2"
FAM153A /// FAM153B /// LOC100507387 /// LOC102725213,0.044747974,0.003540951,-2.916400955,NA
APOL3,0.044988213,0.003565387,-2.914254832,apolipoprotein L3
CRAT,0.044988213,0.003570663,-2.913793252,carnitine O-acetyltransferase
NECAP2,0.044988213,0.003568944,-2.913943599,NECAP endocytosis associated 2
LPCAT3 /// U47924.30,0.045003254,0.003575425,-2.913377136,NA
MAP1A,0.045175263,0.003592673,-2.911874217,microtubule associated protein 1A
HLF,0.045461341,0.003619028,2.909590285,"HLF, PAR bZIP transcription factor"
ANKRD49,0.045483261,0.003631592,2.908506829,ankyrin repeat domain 49
HRG,0.045483261,0.003629571,2.908680881,histidine rich glycoprotein
NEFM,0.045483261,0.003630351,-2.908613703,neurofilament medium
SYNC,0.045665307,0.003649749,-2.906947143,"syncoilin, intermediate filament protein"
IL3RA,0.045686993,0.003662349,-2.905868838,interleukin 3 receptor subunit alpha
PLXDC1,0.045686993,0.003661685,-2.905925607,plexin domain containing 1
USP8,0.045686993,0.003655473,2.906456836,ubiquitin specific peptidase 8
BTBD7,0.045730962,0.0036695,-2.905258422,BTB domain containing 7
PEX11B,0.045806452,0.003684795,2.903956337,peroxisomal biogenesis factor 11 beta
SH2D2A,0.045806452,0.003683916,-2.904031089,SH2 domain containing 2A
TGFB1I1,0.045806452,0.003686453,-2.903815502,transforming growth factor beta 1 induced transcript 1
TUBA1C,0.045968354,0.003703128,2.902402189,tubulin alpha 1c
FHOD1,0.045980226,0.003710997,-2.901737245,formin homology 2 domain containing 1
VASP,0.045980226,0.003711376,-2.901705245,vasodilator stimulated phosphoprotein
PGLYRP4,0.046020839,0.003718303,-2.901120994,peptidoglycan recognition protein 4
FMO2,0.046069536,0.00372589,-2.900482187,flavin containing monooxygenase 2
LOC100506248 /// LOC728026 /// MIR1244-1 /// MIR1244-2 /// MIR1244-3 /// PTMA,0.046072888,0.003729814,-2.900152259,NA
PRMT7,0.046272378,0.003749633,2.898490814,protein arginine methyltransferase 7
BARX1,0.046688747,0.003787075,-2.895373619,BARX homeobox 1
RRP1,0.046722249,0.003793497,-2.894841774,ribosomal RNA processing 1
CLNS1A,0.046819263,0.003805086,-2.893884085,chloride nucleotide-sensitive channel 1A
APOO,0.046854465,0.00381393,2.893155029,apolipoprotein O
CACNG3,0.046854465,0.003826522,2.892119619,calcium voltage-gated channel auxiliary subunit gamma 3
HAUS3,0.046854465,0.003824044,-2.89232314,HAUS augmin like complex subunit 3
MKRN3,0.046854465,0.003819057,-2.892733046,makorin ring finger protein 3
STAG1,0.046854465,0.003823011,-2.89240803,stromal antigen 1
SLC12A9,0.046939311,0.003837173,-2.891246246,solute carrier family 12 member 9
AK021933,0.04706309,0.003851024,2.890113832,NA
AQP3,0.047126276,0.003859987,-2.889382901,aquaporin 3 (Gill blood group)
ITPKA,0.047126276,0.003866161,2.888880428,inositol-trisphosphate 3-kinase A
MIR4315-1 /// MIR4315-2 /// MIR6080 /// PLEKHM1 /// PLEKHM1P,0.047126276,0.003867404,-2.888779325,NA
AK021537,0.047157753,0.003873726,-2.888265623,NA
ATP1A2,0.047616796,0.003915209,-2.884913748,ATPase Na+/K+ transporting subunit alpha 2
UBQLN4,0.047689232,0.003924946,-2.884131648,ubiquilin 4
CLDN15,0.047696069,0.003929291,-2.883783267,claudin 15
NTRK2,0.047783205,0.003940258,-2.882905369,neurotrophic receptor tyrosine kinase 2
MAP1LC3B,0.047877968,0.003951868,2.881978384,microtubule associated protein 1 light chain 3 beta
LAMB2,0.047942646,0.003961008,-2.881250392,laminin subunit beta 2
SLC2A9,0.047968145,0.003967892,-2.880703105,solute carrier family 2 member 9
STK24,0.047968145,0.003970722,-2.88047838,serine/threonine kinase 24
HSPA8 /// SNORD14C /// SNORD14D,0.048182824,0.003995831,2.878490684,NA
SKI,0.048182824,0.003996133,-2.878466803,SKI proto-oncogene
KIAA0141,0.048430505,0.004028195,-2.875945284,NA
LAMB1,0.048430505,0.004020565,2.876543704,laminin subunit beta 1
NDUFV2,0.048430505,0.004028118,2.87595133,NADH:ubiquinone oxidoreductase core subunit V2
AP2A2,0.04848271,0.004036382,2.875304391,adaptor related protein complex 2 alpha 2 subunit
SCG5,0.048719627,0.004059969,2.873464352,secretogranin V
ATP1A1,0.049075685,0.004100034,2.870360998,ATPase Na+/K+ transporting subunit alpha 1
CNTRL,0.049075685,0.004101314,-2.870262322,centriolin
PRR11,0.049075685,0.004094316,2.87080226,proline rich 11
DHRS7,0.049177209,0.004113698,2.869308947,dehydrogenase/reductase 7
MRPL40,0.049249207,0.004137495,2.867484139,mitochondrial ribosomal protein L40
RCAN3,0.049249207,0.004128718,-2.868156063,RCAN family member 3
SEC31A,0.049249207,0.004136944,2.867526317,"SEC31 homolog A, COPII coat complex component"
THY1,0.049249207,0.004139245,2.867350346,Thy-1 cell surface antigen
TMEM184B,0.049249207,0.00413489,-2.867683465,transmembrane protein 184B
HNRNPL,0.049278795,0.004145639,2.866861865,heterogeneous nuclear ribonucleoprotein L
AMD1,0.049301925,0.004151494,2.866415164,adenosylmethionine decarboxylase 1
